"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Baldwin County, AL"	"01003"	"2017"	"2017"	23	212628	10.8	12.3
	"Baldwin County, AL"	"01003"	"2018"	"2018"	24	218022	11.0	11.2
	"Baldwin County, AL"	"01003"	"2019"	"2019"	26	223234	11.6	13.0
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	55	229287	24.0	24.6
	"Blount County, AL"	"01009"	"2017"	"2017"	17	58013	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2017"	"2017"	26	114728	22.7	25.4
	"Calhoun County, AL"	"01015"	"2018"	"2018"	15	114277	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2019"	"2019"	19	113605	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	27	113469	23.8	23.6
	"Cullman County, AL"	"01043"	"2017"	"2017"	15	82755	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2018"	"2018"	17	83442	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2019"	"2019"	12	83768	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2020 "	"2020"	16	84515	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"2017"	"2017"	24	71617	33.5	32.8
	"DeKalb County, AL"	"01049"	"2018"	"2018"	13	71385	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"2019"	"2019"	13	71513	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	18	71658	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2017"	"2017"	35	102755	34.1	35.2
	"Etowah County, AL"	"01055"	"2018"	"2018"	25	102501	24.4	24.7
	"Etowah County, AL"	"01055"	"2019"	"2019"	19	102268	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"2020 "	"2020"	19	102371	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2017"	"2017"	13	104346	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2018"	"2018"	16	104722	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2019"	"2019"	10	105882	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"2020 "	"2020"	14	106580	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	202	659197	30.6	31.6
	"Jefferson County, AL"	"01073"	"2018"	"2018"	175	659300	26.5	27.8
	"Jefferson County, AL"	"01073"	"2019"	"2019"	182	658573	27.6	28.2
	"Jefferson County, AL"	"01073"	"2020 "	"2020"	262	655342	40.0	42.4
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	10	92538	Unreliable	Unreliable
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	13	92387	Unreliable	Unreliable
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	11	92729	Unreliable	Unreliable
	"Lee County, AL"	"01081"	"2017"	"2017"	13	161604	Unreliable	Unreliable
	"Lee County, AL"	"01081"	"2018"	"2018"	10	163941	Unreliable	Unreliable
	"Lee County, AL"	"01081"	"2019"	"2019"	10	164542	Unreliable	Unreliable
	"Lee County, AL"	"01081"	"2020 "	"2020"	16	166831	Unreliable	Unreliable
	"Madison County, AL"	"01089"	"2017"	"2017"	68	361046	18.8	19.8
	"Madison County, AL"	"01089"	"2018"	"2018"	38	366519	10.4	10.9
	"Madison County, AL"	"01089"	"2019"	"2019"	72	372909	19.3	19.4
	"Madison County, AL"	"01089"	"2020 "	"2020"	94	379453	24.8	26.1
	"Marshall County, AL"	"01095"	"2017"	"2017"	10	95548	Unreliable	Unreliable
	"Marshall County, AL"	"01095"	"2018"	"2018"	15	96109	Unreliable	Unreliable
	"Marshall County, AL"	"01095"	"2019"	"2019"	20	96774	20.7	21.6
	"Marshall County, AL"	"01095"	"2020 "	"2020"	17	96990	Unreliable	Unreliable
	"Mobile County, AL"	"01097"	"2017"	"2017"	46	413955	11.1	11.9
	"Mobile County, AL"	"01097"	"2018"	"2018"	53	413757	12.8	13.4
	"Mobile County, AL"	"01097"	"2019"	"2019"	46	413210	11.1	12.7
	"Mobile County, AL"	"01097"	"2020 "	"2020"	83	412716	20.1	22.1
	"Montgomery County, AL"	"01101"	"2017"	"2017"	13	226646	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	"2018"	"2018"	18	225763	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	"2019"	"2019"	11	226486	Unreliable	Unreliable
	"Montgomery County, AL"	"01101"	"2020 "	"2020"	30	224639	13.4	14.0
	"Morgan County, AL"	"01103"	"2017"	"2017"	17	118818	Unreliable	Unreliable
	"Morgan County, AL"	"01103"	"2018"	"2018"	18	119089	Unreliable	Unreliable
	"Morgan County, AL"	"01103"	"2019"	"2019"	13	119679	Unreliable	Unreliable
	"Morgan County, AL"	"01103"	"2020 "	"2020"	25	119883	20.9	22.7
	"Russell County, AL"	"01113"	"2019"	"2019"	18	57961	Unreliable	Unreliable
	"Russell County, AL"	"01113"	"2020 "	"2020"	14	58237	Unreliable	Unreliable
	"St. Clair County, AL"	"01115"	"2017"	"2017"	23	88199	26.1	26.2
	"St. Clair County, AL"	"01115"	"2018"	"2018"	26	88690	29.3	30.5
	"St. Clair County, AL"	"01115"	"2019"	"2019"	20	89512	22.3	20.1
	"St. Clair County, AL"	"01115"	"2020 "	"2020"	26	90739	28.7	29.1
	"Shelby County, AL"	"01117"	"2017"	"2017"	31	213605	14.5	14.9
	"Shelby County, AL"	"01117"	"2018"	"2018"	33	215707	15.3	15.5
	"Shelby County, AL"	"01117"	"2019"	"2019"	32	217702	14.7	15.7
	"Shelby County, AL"	"01117"	"2020 "	"2020"	41	221428	18.5	19.1
	"Talladega County, AL"	"01121"	"2017"	"2017"	12	80065	Unreliable	Unreliable
	"Talladega County, AL"	"01121"	"2018"	"2018"	15	79828	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2017"	"2017"	30	207811	14.4	14.7
	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	24	208911	11.5	12.0
	"Tuscaloosa County, AL"	"01125"	"2019"	"2019"	24	209355	11.5	12.9
	"Tuscaloosa County, AL"	"01125"	"2020 "	"2020"	40	210758	19.0	19.8
	"Walker County, AL"	"01127"	"2019"	"2019"	15	63521	Unreliable	Unreliable
	"Walker County, AL"	"01127"	"2020 "	"2020"	24	63143	38.0	44.1
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	61	294356	20.7	20.9
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	44	291538	15.1	14.4
	"Anchorage Borough, AK"	"02020"	"2019"	"2019"	48	288000	16.7	15.3
	"Anchorage Borough, AK"	"02020"	"2020 "	"2020"	79	287095	27.5	28.0
	"Fairbanks North Star Borough, AK"	"02090"	"2017"	"2017"	10	99703	Unreliable	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2018"	"2018"	10	98971	Unreliable	Unreliable
