"State","prisonRate","prisonPop","Pop"
"Louisiana","0.0068","31584","4616106"
"Mississippi","0.0064","18915","2961536"
"Oklahoma","0.0063","25338","4007179"
"Arkansas","0.0058","17713","3042017"
"Arizona","0.0054","40951","7640796"
"Kentucky","0.0051","23082","4487233"
"Texas","0.0051","154479","30097526"
"Georgia","0.0049","54113","10936299"
"Idaho","0.0045","8571","1896652"
"Florida","0.0043","96009","22177997"
"Montana","0.0043","4723","1093117"
"Ohio","0.0043","50338","11727377"
"Wyoming","0.0043","2479","582233"
"Missouri","0.0042","26038","6184843"
"South Dakota","0.0042","3797","902542"
"Virginia","0.0042","36091","8638218"
"Alabama","0.0042","20595","4949697"
"Delaware","0.0041","4141","998619"
"Nevada","0.0040","12840","3238601"
"Indiana","0.0039","26969","6842385"
"West Virginia","0.0039","6800","1755715"
"Michigan","0.0038","38053","9995212"
"Tennessee","0.0038","26349","7001803"
"Wisconsin","0.0038","22039","5867518"
"Pennsylvania","0.0036","45485","12805190"
"Oregon","0.0035","14943","4325290"
"South Carolina","0.0034","18295","5342388"
"Kansas","0.0034","9965","2919179"
"Colorado","0.0033","19785","5961083"
"New Mexico","0.0031","6634","2109093"
"California","0.0031","122417","39664128"
"North Carolina","0.0031","33042","10807491"
"Illinois","0.0031","38259","12518071"
"Maryland","0.0030","18476","6075314"
"Iowa","0.0029","9260","3174426"
"Nebraska","0.0029","5596","1960790"
"Alaska","0.0025","1782","720763"
"Connecticut","0.0025","8751","3546588"
"Washington","0.0024","19184","7887965"
"North Dakota","0.0023","1767","774008"
"New York","0.0023","43439","19223191"
"Hawaii","0.0022","3037","1401709"
"New Jersey","0.0021","18613","8870685"
"Utah","0.0020","6662","3363182"
"New Hampshire","0.0020","2691","1378449"
"Vermont","0.0018","1137","622882"
"Minnesota","0.0017","9982","5739781"
"Rhode Island","0.0016","1656","1062583"
"Maine","0.0014","1967","1359677"
"Massachusetts","0.0011","7503","6922107"
