"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Civilian Population 16 to 19 Years:","Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Total Population:","Total Population: Native Born","Total Population: Foreign Born","Total Population: Foreign Born: Naturalized Citizen","Total Population: Foreign Born: Not a Citizen","Population for Whom Poverty Status Is Determined","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Female","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Female"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005,SE_A13005_001,SE_A13005_002,SE_A13005_003,SE_A13005_004,SE_A13005_005,SE_A13005_006,SE_A13005_007
"01001","Autauga County, Alabama","ACSSF","al","050","00","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County",,,,55639,93.59648,594.456104043725,55639,54038,41160,10849,155,649,0,101,1124,1601,3042,113,2929,25316,24580,736,55639,54336,1303,639,664,55181,8394,3417,4977,46787,23364,23423
"01003","Baldwin County, Alabama","ACSSF","al","050","00","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,,218289,137.3028,1589.8360610165,218289,208342,180955,19027,1327,2033,10,740,4250,9947,10258,431,9827,102795,98768,4027,218289,210820,7469,3691,3778,215170,19739,7803,11936,195431,96029,99402
"01005","Barbour County, Alabama","ACSSF","al","050","00","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County",,,,25026,28.27771,885.008060269005,25026,23916,11332,11889,81,122,1,157,334,1110,1078,37,1041,9356,8707,649,25026,24387,639,249,390,22070,6312,2509,3803,15758,7837,7921
"01007","Bibb County, Alabama","ACSSF","al","050","00","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County",,,,22374,35.94393,622.469552754685,22374,21774,16650,4971,12,56,0,0,85,600,1147,78,1069,8970,8303,667,22374,22020,354,147,207,20748,3755,1865,1890,16993,8642,8351
"01009","Blount County, Alabama","ACSSF","al","050","00","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County",,,,57755,89.55782,644.890660497269,57755,52393,50065,771,49,236,55,179,1038,5362,3071,122,2949,24089,22836,1253,57755,55241,2514,1077,1437,57127,7847,3278,4569,49280,24983,24297
"01011","Bullock County, Alabama","ACSSF","al","050","00","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County",,,,10173,16.3339,622.815055513771,10173,9349,2162,6980,0,137,0,2,68,824,881,63,818,4146,4007,139,10173,10020,153,67,86,9713,2865,1355,1510,6848,3887,2961
"01013","Butler County, Alabama","ACSSF","al","050","00","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County",,,,19726,25.39266,776.838564503002,19726,19436,10125,8773,66,261,0,0,211,290,865,128,737,8522,7971,551,19726,19358,368,87,281,19411,3796,1270,2526,15615,7604,8011
"01015","Calhoun County, Alabama","ACSSF","al","050","00","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,,114324,188.6879,605.889324583743,114324,109918,82049,23669,168,919,327,176,2610,4406,6350,294,6056,51674,47905,3769,114324,111479,2845,1322,1523,111229,17556,7368,10188,93673,45903,47770
"01017","Chambers County, Alabama","ACSSF","al","050","00","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County",,,,33427,56.03284,596.560898351653,33427,32584,18413,13372,81,368,9,74,267,843,1374,100,1274,15272,14724,548,33427,32806,621,194,427,32875,5062,1973,3089,27813,13685,14128
