"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Population 25 Years and Over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Diploma","Population 25 Years and Over: Bachelor's Degree or Better","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Gini Index","Population for Whom Poverty Status Is Determined","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Female","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male","Population for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Female"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14028_001,SE_A13005_001,SE_A13005_002,SE_A13005_003,SE_A13005_004,SE_A13005_005,SE_A13005_006,SE_A13005_007
"01","Alabama","ACSSF","al","040","00","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01","Alabama",,,,4893186,4680235,3192147,1292950,21297,67317,1887,9779,94858,212951,110687,8369,3467,592,155,65217,24464,3344006,438947,2028015,877044,2245329,2119986,125343,0.4777,4771614,762642,325560,437082,4008972,1970865,2038107
"02","Alaska","ACSSF","ak","040","00","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02","Alaska",,,,736990,683931,439979,22720,103843,45855,10306,2953,58275,53059,26982,1174,3455,1434,179,9278,10557,483436,33176,305293,144967,367921,341492,26429,0.423,719445,74369,35939,38430,645076,336272,308804
"04","Arizona","ACSSF","az","040","00","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04","Arizona",,,,7174064,4913374,3883722,305973,272294,233048,13323,17453,187561,2260690,1408776,19132,38720,6142,1310,474574,312036,4846056,587919,2789439,1468698,3415201,3215843,199358,0.4661,7012999,990528,456524,534004,6022471,2999509,3022962
"05","Arkansas","ACSSF","ar","040","00","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05","Arkansas",,,,3011873,2782244,2155099,455485,15912,45389,10258,6974,93127,229629,114860,2355,3234,741,197,81389,26853,2026722,260360,1283667,482695,1381452,1309748,71704,0.4792,2923585,470190,206639,263551,2453395,1219965,1233430
"06","California","ACSSF","ca","040","00","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06","California",,,,39346023,23965094,14365145,2142371,131724,5743983,135524,124148,1322199,15380929,7688576,108591,179905,90329,14112,5499599,1799817,26665143,4286538,13121732,9256873,19875973,18646894,1229079,0.4874,38589882,4853434,2194991,2658443,33736448,16888271,16848177
"08","Colorado","ACSSF","co","040","00","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08","Colorado",,,,5684926,4453800,3837450,224190,29337,178265,7794,12208,164556,1231126,796855,11502,24334,3468,1089,221205,172673,3900754,308785,1969116,1622853,3079769,2937047,142722,0.4565,5563823,544232,249599,294633,5019591,2534249,2485342
"09","Connecticut","ACSSF","ct","040","00","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09","Connecticut",,,,3570549,2983337,2357942,352036,4882,161787,742,12802,93146,587212,292052,30125,4197,1475,447,179415,79501,2489205,225550,1267655,996000,1923759,1807525,116234,0.4965,3466935,339156,147174,191982,3127779,1540547,1587232
"10","Delaware","ACSSF","de","040","00","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10","Delaware",,,,967679,876329,595236,208126,2836,38249,290,3504,28088,91350,57351,4669,724,279,415,18433,9479,679870,63843,393984,222043,485206,456872,28334,0.4568,941266,107641,45776,61865,833625,407595,426030
"11","District of Columbia","ACSSF","dc","040","00","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11","District of Columbia",,,,701974,623993,257792,312661,1298,28347,283,3565,20047,77981,30514,5970,1140,415,45,30199,9698,501986,40811,161200,299975,411398,382108,29290,0.5212,669089,103391,45274,58117,565698,271519,294179
